country,region_id,authority_id,auth_name_e,old_park_id,new_park_id,park_offical_id
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_112e0ee1cd79,c977faca55d3,VALGL_0
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_7ecbf6a10ccc;VALGL_1a9c5fe0ffab,8a3b90b05114,VALGL_1
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_356ac97f0d33;VALGL_6b0960ca22e3,223ffd6b9123,VALGL_2
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_025ef19c3ca2,1be15c91875a,VALGL_3
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_a511222ee328;VALGL_b620b99f1802,0157eb914af2,VALGL_4
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_55b31195b733;VALGL_ca865d682221,89f7748ba05c,VALGL_5
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_56655c016a65,1048d0fe7294,VALGL_6
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_9311839872d9,62a1e7d395a8,VALGL_7
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_7f485fbc4d80,2f91788a5be2,VALGL_8
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_6f65d96caf3a;VALGL_29a032db89ef,a0e2824c9baf,VALGL_9
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_b56fba295e46;VALGL_290db720073c,ef892fae583c,VALGL_10
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_fc34271b6bd3;VALGL_83f98a548b7c,f33fa5350afb,VALGL_11
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_44d0877c8a25;VALGL_b30cc89905b4,92d9282b7076,VALGL_12
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_899b013898ab,c671fb06dad7,VALGL_13
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_4d113b1aa8de,3259c80735e5,VALGL_14
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_ac49e03bafa6;VALGL_c1f5fe076341,b3348a033cd6,VALGL_15
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_6ab3c4935257,a27f8b543f6a,VALGL_16
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_6b64012b883c,628b6e130155,VALGL_17
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_778c93bdb771;VALGL_3d109a660055,20e482de46ef,VALGL_18
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_d439c3709757,df35c98d9bd4,VALGL_19
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_a4e8430e3d58;VALGL_a226f58eb973,8edee34d96d4,VALGL_20
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_66c365d06f76;VALGL_a2cc05570bd9,83a79fbd335b,VALGL_21
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_96e1e923a3fd;VALGL_42c87e64c50e,12e7e84df02f,VALGL_22
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_5edecb94602c;VALGL_9d89b0ebc1c4,5cfcd1361388,VALGL_23
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_690fc6d3eae1;VALGL_52c29b5d857c,bec37deccfb8,VALGL_24
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_08518ea66f45;VALGL_f2e376843525,e06772499834,VALGL_25
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_3f74a20efce3;VALGL_a6316a755854;VALGL_cb6a6879994c;VALGL_051d3c62f1eb;VALGL_18ee9cfc65ce;VALGL_5e6c296ed812;VALGL_eabd7d7fcd73;VALGL_ae5e2774588a;VALGL_9bd1a1e49c4a;VALGL_06831b99c9ec;VALGL_036c6295c4b4,c7745ca4e23e,VALGL_26
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_5291f06f8ec3;VALGL_e23a63e9f8dc,b1fd0f826b16,VALGL_27
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_27545b6f2820;VALGL_08ca35b29170,13f6eb89a462,VALGL_28
Wales,W10000007,W06000014,Vale of Glamorgan,VALGL_23c1ce94d919,6cc9d731cd61,VALGL_29
